ID,Name,Fat (g),Protein (g),Carbohydrate (g)
169090,Mangosteen Canned Syrup Pack,0.58,0.41,17.91
169091,Dried Sweetened Mango,1.18,2.45,78.58
169092,Cantaloupe Melons,0.19,0.84,8.16
169093,Casaba Melon,0.1,1.11,6.58
169094,Olives,10.9,0.84,6.04
169095,Jumbo Olives,6.87,0.97,5.61
169096,Green Olives,15.32,1.03,3.84
169097,Oranges,0.12,0.94,11.75
169098,Orange Juice,0.2,0.7,10.4
169099,Canned Orange Juice,0.15,0.68,11.01
169100,Orange Juice From Concentrate,0.12,0.68,11.54
169101,Orange Juice With Added Calcium And Vitamin D,0.12,0.68,11.27
169102,Orange Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water,0.06,0.6,8.8
169103,Orange Peel Raw,0.2,1.5,25
169104,Orange-Grapefruit Juice Canned Or Bottled Unsweetened,0.1,0.6,10.28
169105,Tangerines,0.31,0.81,13.34
169106,Tangerines (Mandarin Oranges) Canned Juice Pack,0.03,0.62,9.57
169107,Papaya Nectar Canned,0.15,0.17,14.51
169108,Passion Fruit (Granadilla),0.7,2.2,23.38
169109,Purple Passion Fruit Juice,0.05,0.39,13.6
169110,Yellow Passion Fruit Juice,0.18,0.67,14.45
169111,Peaches Canned Light Syrup Pack Solids And Liquids,0.03,0.45,14.55
169112,Peaches Canned Heavy Syrup Pack Solids And Liquids,0.1,0.45,19.94
169113,Peaches Canned Extra Heavy Syrup Pack Solids And Liquids,0.03,0.47,26.06
169114,Peaches Spiced Canned Heavy Syrup Pack Solids And Liquids,0.1,0.41,20.08
169115,Peaches Dried Sulfured Stewed With Added Sugar,0.22,1.06,26.6
169116,Peaches Frozen Sliced Sweetened,0.13,0.63,23.98
169117,Peach Nectar Canned Without Added Ascorbic Acid,0.57,0.1,11.61
169118,Pears,0.14,0.36,15.23
169119,Pears Canned Water Pack Solids And Liquids,0.03,0.19,7.81
169120,Pears Canned In Syrup,0.13,0.19,25.25
169121,Dried Pears,0.63,1.87,69.7
169122,Pears Dried Sulfured Stewed Without Added Sugar,0.31,0.91,33.81
169123,Pears Dried Sulfured Stewed With Added Sugar,0.29,0.86,37.14
169124,Pineapple,0.12,0.54,13.12
169125,Pineapple Canned Water Pack Solids And Liquids,0.09,0.43,8.3
169126,Pineapple Canned Juice Pack Solids And Liquids,0.08,0.42,15.7
169127,Pineapple Canned Light Syrup Pack Solids And Liquids,0.12,0.36,13.45
169128,Pineapple Juice Frozen Concentrate Unsweetened Diluted With 3 Volume Water,0.03,0.4,12.67
169129,Pitanga,0.4,0.8,7.49
169130,Plantains,0.35,1.3,31.89
169131,Plantains Cooked,0.16,1.52,41.37
169132,Plums Canned Purple Heavy Syrup Pack Solids And Liquids,0.1,0.36,23.24
169133,Plums Canned Purple Extra Heavy Syrup Pack Solids And Liquids,0.1,0.36,26.31
169134,Pomegranates,1.17,1.67,18.7
169135,Cooked Lima Beans,0.32,6.81,23.64
169136,Lima Beans Immature Seeds Canned Regular Pack Solids And Liquids,0.29,4.07,13.33
169137,Mung Beans Mature Seeds Sprouted Cooked Boiled Drained Without Salt,0.09,2.03,4.19
169138,Mung Beans Mature Seeds Sprouted Cooked Stir-Fried,0.21,4.3,10.59
169139,Beans Navy Mature Seeds Sprouted Raw,0.7,6.15,13.05
169140,Beans Navy Mature Seeds Sprouted Cooked Boiled Drained Without Salt,0.81,7.07,15.01
169141,Cooked Green Snap Beans,0.28,1.89,7.88
169142,Canned Green Beans,0.17,0.72,3.27
169143,Beans Snap Green Canned Regular Pack Drained Solids,0.41,1.05,4.19
169144,Beans Snap Canned All Styles Seasoned Solids And Liquids,0.2,0.83,3.49
169145,Beets (Raw),0.17,1.61,9.56
169146,Cooked Beets,0.18,1.68,9.96
169147,Beets Canned Regular Pack Solids And Liquids,0.09,0.73,7.14
169148,Pork Cured Ham -- Water Added Whole Boneless Separable Lean Only Heated Roasted,4.39,17.99,1.57
169149,Pork Cured Ham -- Water Added Whole Boneless Separable Lean Only Unheated,3.97,17.34,1.45
169150,Pork Cured Ham And Water Product Shank Bone-In Separable Lean Only Heated Roasted,4.45,21.69,1.26
169151,Pork Cured Ham -- Water Added Slice Bone-In Separable Lean Only Unheated,2.29,17.38,1.23
169152,Pork Cured Ham And Water Product Rump Bone-In Separable Lean Only Unheated,3.38,17.93,1.24
169153,Pork Cured Ham And Water Product Slice Bone-In Separable Lean Only Unheated,3.78,14.47,2.82
169154,Pork Cured Ham And Water Product Shank Bone-In Unheated Separable Lean Only,4.18,17.53,1.2
169155,Pork Cured Ham Separable Fat Boneless Heated,51.57,8.77,2
169156,Pork Cured Ham Separable Fat Boneless Unheated,53,7.5,1.87
169157,Pork Pickled Pork Hocks,10.54,19.11,0
169158,Pork Cured Ham Slice Bone-In Separable Lean Only Heated Pan-Broil,4.09,27.18,0.74
169159,Pork Cured Ham With Natural Juices Whole Boneless Separable Lean And Fat Unheated,3.43,19.38,1.02
169160,Pork Cured Ham And Water Product Whole Boneless Separable Lean And Fat Unheated,4.99,14.05,4.21
169161,Pork Cured Ham And Water Product Slice Bone-In Separable Lean And Fat Unheated,9.29,13.69,2.72
169162,Pork Cured Ham And Water Product Shank Bone-In Separable Lean And Fat Unheated,20,14.28,1.42
169163,Pork Cured Ham And Water Product Rump Bone-In Separable Lean And Fat Unheated,12.13,16.09,1.35
169164,Pork Cured Ham -- Water Added Rump Bone-In Separable Lean And Fat Heated Roasted,8.56,20.1,0.99
169165,Pork Cured Ham -- Water Added Shank Bone-In Separable Lean And Fat Heated Roasted,13.37,18.62,1.35
169166,Pork Cured Ham -- Water Added Slice Bone-In Separable Lean And Fat Heated Pan-Broil,8.73,20.8,1.54
169167,Pork Cured Ham -- Water Added Slice Boneless Separable Lean And Fat Heated Pan-Broil,5.05,18.62,1.72
169168,Pork Cured Ham And Water Product Slice Boneless Separable Lean And Fat Heated Pan-Broil,5.13,15.08,4.69
169169,Pork Cured Ham And Water Product Whole Boneless Separable Lean And Fat Heated Roasted,5.46,13.88,4.61
169170,Pork Cured Ham With Natural Juices Rump Bone-In Separable Lean And Fat Heated Roasted,9.39,22.47,0.6
169171,Pork Cured Ham With Natural Juices Shank Bone-In Separable Lean And Fat Heated Roasted,10.93,22.88,0.33
169172,Pork Cured Ham With Natural Juices Slice Bone-In Separable Lean And Fat Heated Pan-Broil,8.28,26.18,0.17
169173,Pork Cured Ham Rump Bone-In Separable Lean Only Heated Roasted,3.07,26.02,0.68
169174,Pork Cured Ham Rump Bone-In Separable Lean Only Unheated,2.92,24.46,0.32
169175,Pork Cured Ham Shank Bone-In Separable Lean Only Heated Roasted,3.68,26.49,0.68
169176,Pork Cured Ham Shank Bone-In Separable Lean Only Unheated,3.19,23.79,0.18
169177,Pork Cured Ham Slice Bone-In Separable Lean And Fat Unheated,9.17,22.45,0.21
169178,Pork Fresh Spareribs Separable Lean And Fat Cooked Roasted,30.86,20.89,0
169179,Pork Fresh Composite Of Separable Fat With Added Solution Raw,52.33,9.27,0
169180,Pork Fresh Loin Tenderloin Separable Lean Only With Added Solution Cooked Roasted,3.15,21.61,0.31
169181,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean Only With Added Solution Raw,3.48,21.09,0.22
169182,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat With Added Solution Raw,10.26,19.45,0
169183,Pork Fresh Loin Top Loin (Chops) Boneless Separable Lean And Fat With Added Solution Cooked Broiled,9.42,28.33,0.02
169184,Pork Fresh Loin Tenderloin Separable Lean And Fat With Added Solution Raw,3.14,20.16,0
169185,Pork Fresh Loin Tenderloin Separable Lean And Fat With Added Solution Cooked Roasted,3.7,21.5,0.31
169186,Pork Leg Cap Steak Boneless Separable Lean And Fat Raw,3.39,21.64,0
169187,Pork Shoulder Breast Boneless Separable Lean And Fat Raw,3.4,22.54,0
169188,Pork Shoulder Breast Boneless Separable Lean And Fat Cooked Broiled,4.49,28.47,0
169189,Pork Shoulder Petite Tender Boneless Separable Lean And Fat Cooked Broiled,4.23,27.47,0
169190,Pork Ground 96% Lean / 4% Fat Raw,4,21.1,0.21
169191,Pork Ground 72% Lean / 28% Fat Cooked Crumbles,32.93,22.83,1.39
169192,Pork Ground 84% Lean / 16% Fat Cooked Crumbles,20.04,26.69,0.58
169193,Pork Ground 96% Lean / 4% Fat Cooked Crumbles,7.15,30.55,0
169194,Pork Fresh Loin Blade (Chops Or Roasts) Boneless Separable Lean Only Raw,3.78,21.35,0.82
169195,Pork Fresh Loin Blade (Roasts) Boneless Separable Lean Only Cooked Roasted,7.14,27.58,0
169196,Pork Fresh Loin Blade (Chops) Boneless Separable Lean Only Boneless Cooked Broiled,6.74,26.14,0.89
169197,Pork Fresh Loin Country-Style Ribs Separable Lean Only Boneless Cooked Broiled,11.65,27.83,0
169198,Pork Fresh Loin Blade (Roasts) Boneless Separable Lean And Fat Cooked Roasted,10.32,26.48,0
169199,Pork Fresh Loin Country-Style Ribs Separable Lean And Fat Boneless Cooked Broiled,15.73,26.28,0
169200,Pork Fresh Loin Country-Style Ribs Separable Lean And Fat Bone-In Cooked Broiled,17.56,25.58,0
169201,Pork Fresh Loin Country-Style Ribs Separable Lean And Fat Boneless Cooked Roasted,18.31,26.4,0
169202,Amaranth Leaves Cooked Boiled Drained Without Salt,0.18,2.11,4.11
169203,Arrowhead Raw,0.29,5.33,20.23
169204,Arrowhead Cooked Boiled Drained Without Salt,0.1,4.49,16.14
169205,Artichokes (Globe Or French),0.15,3.27,10.51
169206,Asparagus Canned Regular Pack Solids And Liquids,0.18,1.8,2.48
169207,Canned Asparagus,0.65,2.14,2.46
169208,Asparagus Frozen Unprepared,0.23,3.23,4.1
169209,Asparagus Frozen Cooked Boiled Drained Without Salt,0.42,2.95,1.92
169210,Bamboo Shoots,0.3,2.6,5.2
169211,Bamboo Shoots (Cooked),0.22,1.53,1.92
169212,Bamboo Shoots (Canned),0.4,1.72,3.22
169213,Kidney Bean Sprouts,0.5,4.2,4.1
169214,Corn Sweet Yellow Canned Whole Kernel Drained Solids,1.22,2.29,14.34
169215,Corn Sweet Yellow Canned Cream Style Regular Pack,0.42,1.74,18.13
169216,Corn Sweet Yellow Canned Vacuum Pack Regular Pack,0.5,2.41,19.44
169217,Corn Yellow Whole Kernel Frozen Microwaved,1.42,3.62,25.87
169218,Corn With Red And Green Peppers Canned Solids And Liquids,0.55,2.33,18.17
169219,Cornsalad Raw,0.4,2,3.6
169220,Cowpeas (Blackeyes) Immature Seeds Raw,0.35,2.95,18.83
169221,Cowpeas Young Pods With Seeds Cooked Boiled Drained Without Salt,0.3,2.6,7
169222,Yardlong Bean Raw,0.4,2.8,8.35
169223,Yardlong Bean Cooked Boiled Drained Without Salt,0.1,2.53,9.18
169224,Cowpeas Leafy Tips Raw,0.25,4.1,4.82
169225,Cucumber Peeled Raw,0.16,0.59,2.16
169226,Dandelion Greens,0.7,2.7,9.2
169227,Cooked Dandelion Greens,0.6,2,6.4
169228,Eggplant,0.18,0.98,5.88
169229,Cooked Eggplant,0.23,0.83,8.73
169230,Garlic,0.5,6.36,33.06
169231,Ginger,0.75,1.82,17.77
169232,Gourd White-Flowered (Calabash) Raw,0.02,0.62,3.39
169233,Gourd White-Flowered (Calabash) Cooked Boiled Drained Without Salt,0.02,0.6,3.69
169234,Hyacinth-Beans Immature Seeds Raw,0.2,2.1,9.19
169235,Hyacinth-Beans Immature Seeds Cooked Boiled Drained Without Salt,0.27,2.95,9.2
169236,Jerusalem-Artichokes Raw,0.01,2,17.44
169237,Jews Ear,0.04,0.48,6.75
169238,Cooked Kale,1.21,2.94,5.3
169239,Kale Frozen Unprepared,0.46,2.66,4.88
169240,Kale Frozen Cooked Boiled Drained Without Salt,1.21,2.94,5.3
169241,Kanpyo,0.56,8.58,65.03
169242,Shiitake Mushrooms,0.49,2.24,6.79
169243,Mushrooms Portobellos Grilled,0.58,3.28,4.44
169244,Lambsquarters Raw,0.8,4.2,7.3
169245,Lambsquarters Cooked Boiled Drained Without Salt,0.7,3.2,5
169246,Leeks,0.3,1.5,14.15
169247,Romaine Lettuce,0.3,1.23,3.29
169248,Iceberg Lettuce,0.14,0.9,2.97
169249,Green Leaf Lettuce,0.15,1.36,2.87
169250,Lotus Root,0.1,2.6,17.23
169251,White Button Mushrooms,0.34,3.09,3.26
169252,Cooked White Button Mushrooms,0.47,2.17,5.29
169253,White Button Mushrooms (Stir-Fried),0.33,3.58,4.04
169254,Canned Mushrooms,0.29,1.87,5.09
169255,Portobellos Mushrooms,0.35,2.11,3.87
169256,Mustard Greens,0.42,2.86,4.67
169257,Cooked Mustard Greens,0.47,2.56,4.51
169258,Mustard Greens Frozen Unprepared,0.27,2.49,3.41
169259,Mustard Greens Frozen Cooked Boiled Drained Without Salt,0.25,2.27,3.11
169260,Okra,0.19,1.93,7.45
169261,Cooked Okra,0.21,1.87,4.51
169262,Okra Frozen Unprepared,0.25,1.69,6.63
169263,Cooked Okra (Previously Frozen),0.24,1.63,6.41
169264,Potatoes French Fried All Types Salt Added In Processing Frozen Home-Prepared Oven Heated,5.48,2.75,25.55
169265,Potatoes French Fried Cottage-Cut Salt Not Added In Processing Frozen As Purchased,5.78,2.42,23.98
169266,Potatoes French Fried Cottage-Cut Salt Not Added In Processing Frozen Oven-Heated,8.2,3.44,34.03
169267,Potatoes Frozen French Fried Par Fried Extruded Unprepared,14.95,2.83,30.15
169268,Potatoes Frozen French Fried Par Fried Extruded Prepared Heated In Oven Without Salt,18.71,3.55,39.68
169269,Potato Salad Home-Prepared,8.2,2.68,11.17
169270,Pumpkin Flowers,0.07,1.03,3.28
169271,Cooked Pumpkin Flowers,0.08,1.09,3.3
169272,Pumpkin Leaves,0.4,3.15,2.33
169273,Pumpkin Pie Mix Canned,0.13,1.09,26.39
169274,Purslane,0.36,2.03,3.39
169275,Cooked Purslane,0.19,1.49,3.55
169276,Radishes,0.1,0.68,3.4
169277,Salsify (Vegetable Oyster) Raw,0.2,3.3,18.6
169278,Salsify Cooked Boiled Drained Without Salt,0.17,2.73,15.36
169279,Sauerkraut,0.14,0.91,4.28
169280,Seaweed Agar Raw,0.03,0.54,6.75
169281,Sesbania Flower Cooked Steamed Without Salt,0.05,1.14,5.23
169282,Green Soybeans,6.8,12.95,11.05
169283,Cooked Green Soybeans,6.4,12.35,11.05
169284,Soybean Sprouts,6.7,13.09,9.57
169285,Spinach Canned Regular Pack Solids And Liquids,0.37,2.11,2.92
169286,Spinach Canned Regular Pack Drained Solids,0.5,2.81,3.4
169287,Spinach Frozen Chopped Or Leaf Unprepared,0.57,3.63,4.21
169288,Spinach Frozen Chopped Or Leaf Cooked Boiled Drained Without Salt,0.87,4.01,4.8
169289,Scallop Squash,0.2,1.2,3.84
169290,Cooked Scallop Squash,0.17,1.03,3.3
169291,Zucchini,0.32,1.21,3.11
169292,Cooked Zucchini,0.36,1.14,2.69
169293,Baked Acorn Squash,0.14,1.12,14.58
169294,Cooked Acorn Squash,0.08,0.67,8.79
169295,Butternut Squash,0.1,1,11.69
169296,Cooked Butternut Squash,0.09,0.9,10.49
169297,Squash Winter Hubbard Cooked Boiled Mashed Without Salt,0.37,1.48,6.46
169298,Spaghetti Squash,0.57,0.64,6.91
169299,Cooked Spaghetti Squash,0.26,0.66,6.46
169300,Succotash (Corn And Limas) Raw,1.02,5.03,19.59
169301,Swamp Cabbage,0.2,2.6,3.13
169302,Cooked Swamp Cabbage,0.24,2.08,3.7
169303,Sweet Potato Leaves Raw,0.51,2.49,8.82
169304,Sweet Potato Leaves Cooked Steamed Without Salt,0.34,2.18,7.38
169305,Mashed Sweet Potatoes,0.2,1.98,23.19
169306,Sweet Potato Frozen Unprepared,0.18,1.71,22.22
169307,Sweet Potato Frozen Cooked Baked Without Salt,0.12,1.71,23.4
169308,Taro,0.2,1.5,26.46
169309,Taro Shoots Cooked Without Salt,0.08,0.73,3.2
169310,Tahitian Taro,0.97,2.79,6.91
169311,Artichokes (Globe Or French) Cooked Boiled Drained With Salt,0.34,2.89,11.39
169312,Artichokes (Globe Or French) Frozen Cooked Boiled Drained With Salt,0.5,3.11,9.18
169313,Asparagus Cooked Boiled Drained With Salt,0.22,2.4,4.11
169314,Asparagus Canned No Salt Added Solids And Liquids,0.18,1.8,2.48
169315,Beans Kidney Mature Seeds Sprouted Cooked Boiled Drained With Salt,0.58,4.83,4.72
169316,Lima Beans Immature Seeds Cooked Boiled Drained With Salt,0.32,6.81,23.64
169317,Canned Lima Beans,0.29,4.07,13.33
169318,Lima Beans Immature Seeds Frozen Baby Cooked Boiled Drained With Salt,0.3,6.65,19.45
169319,Beans Pinto Mature Seeds Sprouted Cooked Boiled Drained With Salt,0.32,1.86,3.5
169320,Yellow Snap Beans,0.12,1.82,7.13
169321,Beans Snap Green Cooked Boiled Drained With Salt,0.28,1.89,7.88
169322,Cooked Yellow Snap Beans,0.28,1.89,7.88
169323,Beans Snap Yellow Cooked Boiled Drained With Salt,0.28,1.89,7.88
169324,Beans Snap Yellow Frozen All Styles Unprepared,0.21,1.8,7.58
169325,Beans Snap Green Frozen Cooked Boiled Drained With Salt,0.17,1.49,6.45
169326,Beans Snap Yellow Frozen Cooked Boiled Drained Without Salt,0.17,1.49,6.45
169327,Beans Snap Yellow Frozen Cooked Boiled Drained With Salt,0.17,1.49,6.45
169328,Broadbeans Immature Seeds Cooked Boiled Drained With Salt,0.5,4.8,10.1
169329,Broccoli Leaves Raw,0.35,2.98,5.06
169330,Broccoli Flower Clusters Raw,0.35,2.98,5.06
169331,Broccoli Stalks Raw,0.35,2.98,5.24
169332,Brussels Sprouts Frozen Cooked Boiled Drained With Salt,0.39,3.64,8.32
169333,Burdock Root Cooked Boiled Drained With Salt,0.14,2.09,21.15
169334,Butterbur Cooked Boiled Drained With Salt,0.02,0.23,2.16
169335,Cabbage Common (Danish Domestic And Pointed Types) Freshly Harvest Raw,0.18,1.21,5.37
169336,Cabbage Common (Danish Domestic And Pointed Types) Stored Raw,0.18,1.21,5.37
169337,Cabbage Chinese (Pe-Tsai) Cooked Boiled Drained With Salt,0.17,1.5,2.41
169338,Cardoon Cooked Boiled Drained With Salt,0.11,0.76,4.74
169339,Carrots Cooked Boiled Drained With Salt,0.18,0.76,8.22
169340,Carrots Canned No Salt Added Solids And Liquids,0.14,0.59,5.36
169341,Celeriac Cooked Boiled Drained With Salt,0.19,0.96,5.9
169342,Celery Cooked Boiled Drained With Salt,0.16,0.83,4
169343,Chard Swiss Cooked Boiled Drained With Salt,0.08,1.88,4.13
169344,Chayote Fruit Cooked Boiled Drained With Salt,0.48,0.62,4.5
169345,Corn Sweet Yellow Canned No Salt Added Solids And Liquids,0.77,1.95,13.86
169346,Corn Sweet Yellow Canned Cream Style No Salt Added,0.42,1.74,18.13
169347,Corn Sweet Yellow Canned Vacuum Pack No Salt Added,0.5,2.41,19.44
169348,Corn Sweet Yellow Frozen Kernels Cut Off Cob Boiled Drained With Salt,0.67,2.55,18.71
169349,Corn Sweet Yellow Frozen Kernels On Cob Cooked Boiled Drained With Salt,0.74,3.11,22.33
169350,Cress Garden Cooked Boiled Drained With Salt,0.6,1.9,3.8
169351,Dandelion Greens Cooked Boiled Drained With Salt,0.6,2,6.4
169352,Eggplant Cooked Boiled Drained With Salt,0.23,0.83,8.14
169353,Gourd White-Flowered (Calabash) Cooked Boiled Drained With Salt,0.02,0.6,3.1
169354,Jute Potherb Cooked Boiled Drained With Salt,0.2,3.68,7.29
169355,Kale Cooked Boiled Drained With Salt,1.21,2.94,5.3
169356,Kale Frozen Cooked Boiled Drained With Salt,1.21,2.94,5.3
169357,Kohlrabi Cooked Boiled Drained With Salt,0.11,1.8,6.69
169358,Yambean (Jicama) Cooked Boiled Drained With Salt,0.09,0.72,8.23
169359,Yardlong Bean Cooked Boiled Drained With Salt,0.1,2.53,9.17
169360,Corn Sweet White Canned Whole Kernel No Salt Added Solids And Liquids,0.5,1.95,15.41
169361,Corn Sweet White Canned Whole Kernel Drained Solids,1.22,2.29,14.34
169362,Corn Sweet White Canned Cream Style Regular Pack,0.42,1.74,18.62
169363,Corn Sweet White Canned Cream Style No Salt Added,0.42,1.74,18.13
169364,Corn Sweet White Frozen Kernels Cut Off Cob Boiled Drained With Salt,0.43,2.75,19.56
169365,Corn Sweet White Frozen Kernels On Cob Unprepared,0.78,3.28,23.5
169366,Corn Sweet White Frozen Kernels On Cob Cooked Boiled Drained Without Salt,0.74,3.11,22.33
169367,Corn Sweet White Frozen Kernels On Cob Cooked Boiled Drained With Salt,0.74,3.11,22.33
169368,Sesbania Flower Cooked Steamed With Salt,0.05,1.14,5.1
169369,Soybeans Mature Seeds Sprouted Cooked Steamed With Salt,4.45,8.47,6.53
169370,Soybeans Mature Seeds Sprouted Cooked Stir-Fried With Salt,7.1,13.1,9.4
169371,Dock Cooked Boiled Drained With Salt,0.64,1.83,2.93
169372,Potatoes Mashed Dehydrated Prepared From Flakes Without Milk Whole Milk And Margarine Added,5.6,1.9,15.02
169373,Peppers Sweet Red Freeze-Dried,3,17.9,68.7
169374,Beans Snap Yellow Canned Regular Pack Drained Solids,0.1,1.15,4.5
169375,Beans Snap Yellow Canned No Salt Added Drained Solids,0.1,1.15,4.5
169376,Raw White Button Mushrooms (Exposed To Sunlight Or Uv),0.34,3.09,3.26
169377,Portobellos (Exposed To Sunlight Or Uv),0.58,3.28,4.44
169378,Sweet Pickled Cucumbers,0.41,0.58,21.15
169379,Sour Pickled Cucumber,0.2,0.33,2.26
169380,Low Sodium Sweet Pickles,0.26,0.37,33.73
169381,Low Sodium Ketchup,0.1,1.04,27.4
169382,Enoki Mushrooms,0.29,2.66,7.81
169383,Sweet Yellow Peppers,0.21,1,6.32
169384,Tomatoes Sun-Dried Packed In Oil Drained,14.08,5.06,23.33
169385,Fennel,0.2,1.24,7.3
169386,Pickle Relish Hamburger,0.54,0.63,34.48
169387,Arugula,0.66,2.58,3.65
169388,Cooked Nopales,0.05,1.35,3.28
169389,Green Cauliflower,0.3,2.95,6.09
169390,Cooked Green Cauliflower,0.31,3.04,6.28
169391,Cauliflower Green Cooked With Salt,0.31,3.04,6.28
169392,Cooked Chinese Broccoli,0.72,1.14,3.81
169393,Grape Leaves Canned,1.97,4.27,11.71
169394,Banana Peppers,0.45,1.66,5.35
169395,Serrano Peppers,0.44,1.74,6.7
169396,Dried Ancho Peppers,8.2,11.86,51.42
169397,Pickles Chowchow With Cauliflower Onion Mustard Sweet,0.9,1.5,26.64
169398,Epazote Raw,0.52,0.33,7.44
169399,Fireweed Leaves Raw,2.75,4.71,19.22
169400,Cooked Malabar Spinach,0.78,2.98,2.71
169401,Yautia,0.4,1.46,23.63
169402,Mushrooms White Microwaved,0.46,3.91,6.04
169403,Maitake Mushrooms,0.19,1.94,6.97
169404,Chinese Broccoli,0.76,1.2,4.67
169405,Fiddlehead Ferns,0.4,4.55,5.54
169406,Seeds Sesame Butter Tahini From Unroasted Kernels (Non-Chemically Removed Seed Coat),56.44,17.95,17.89
169407,Seeds Watermelon Seed Kernels Dried,47.37,28.33,15.31
169408,Dried Japanese Chestnuts,1.24,5.25,81.43
169409,Nuts Coconut Milk Frozen (Liquid Expressed From Grated Meat And Water),20.8,1.61,5.58
169410,Raw Sesame Butter (Tahini),48,17.81,26.19
169411,Nuts Formulated Wheat-Based All Flavors Except Macadamia Without Salt,62.3,13.11,20.79
169412,Seeds Sesame Seed Kernels Dried (Decorticated),61.21,20.45,11.73
169413,Nuts Chestnuts Japanese Raw,0.53,2.25,34.91
169414,Flax Seeds,42.16,18.29,28.88
169415,Roasted Squash And Pumpkin Seeds (Salted),49.05,29.84,14.71
169416,Seeds Sesame Seed Kernels Toasted With Salt Added (Decorticated),48,16.96,26.04
169417,Dry Roasted Sunflower Seeds (With Salt),49.8,19.33,15.31
169418,Seeds Sunflower Seed Kernels Dry Roasted With Salt Added,49.8,19.33,24.07
169419,Nuts Almonds Oil Roasted With Salt Added,55.17,21.23,17.68
169420,Nuts Almonds Oil Roasted With Salt Added Smoke Flavor,55.89,21.43,17.86
